# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
     316 8.858e-06 1.201e-05 9.213e-06 4.520e-07
     398 1.174e-05 1.283e-05 1.204e-05 1.798e-07
     501 1.499e-05 2.036e-05 1.555e-05 7.856e-07
     631 2.065e-05 2.604e-05 2.125e-05 6.202e-07
     794 2.736e-05 3.202e-05 2.804e-05 6.159e-07
    1000 3.442e-05 3.672e-05 3.553e-05 5.135e-07
    1259 4.569e-05 5.632e-05 4.679e-05 1.461e-06
    1585 6.046e-05 7.765e-05 6.216e-05 2.735e-06
    1995 7.722e-05 1.036e-04 7.929e-05 3.743e-06
    2512 1.022e-04 1.344e-04 1.045e-04 4.318e-06
    3162 1.351e-04 1.750e-04 1.387e-04 7.006e-06
    3981 1.724e-04 2.121e-04 1.755e-04 5.212e-06
    5012 2.261e-04 2.703e-04 2.308e-04 7.968e-06
    6310 2.989e-04 3.492e-04 3.066e-04 1.221e-05
    7943 3.812e-04 4.378e-04 3.902e-04 1.332e-05
   10000 4.955e-04 5.505e-04 5.081e-04 1.519e-05
   12589 6.547e-04 7.571e-04 6.726e-04 2.143e-05
   15849 8.339e-04 9.121e-04 8.505e-04 1.883e-05
   19953 1.076e-03 1.173e-03 1.102e-03 2.209e-05
   25119 1.425e-03 1.556e-03 1.459e-03 3.051e-05
   31623 1.813e-03 1.957e-03 1.853e-03 3.201e-05
   39811 2.339e-03 2.490e-03 2.389e-03 3.393e-05
   50119 3.094e-03 3.350e-03 3.171e-03 4.518e-05
   63096 3.984e-03 4.163e-03 4.049e-03 3.841e-05
   79433 5.083e-03 5.414e-03 5.184e-03 6.943e-05
  100000 6.630e-03 7.284e-03 6.838e-03 1.294e-04
  125893 8.364e-03 9.026e-03 8.576e-03 1.268e-04
  158489 1.074e-02 1.150e-02 1.103e-02 1.618e-04
  199526 1.413e-02 1.593e-02 1.466e-02 3.232e-04
  251189 1.786e-02 1.930e-02 1.839e-02 3.027e-04
  316228 2.288e-02 2.495e-02 2.359e-02 4.695e-04
  398107 3.057e-02 3.289e-02 3.114e-02 4.765e-04
  501187 3.880e-02 4.088e-02 3.943e-02 4.803e-04
  630957 4.923e-02 5.337e-02 5.074e-02 8.694e-04
  794328 6.412e-02 7.071e-02 6.687e-02 1.412e-03
#------- --------- --------- --------- ---------


# heap_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.150e-07 8.090e-07 5.584e-07 4.257e-08
      13 5.710e-07 9.320e-07 6.367e-07 7.241e-08
      16 6.510e-07 1.266e-06 7.836e-07 1.449e-07
      20 7.380e-07 8.500e-07 7.915e-07 2.606e-08
      25 8.600e-07 1.046e-06 9.270e-07 3.710e-08
      32 1.065e-06 1.569e-06 1.177e-06 1.029e-07
      40 1.325e-06 2.120e-06 1.502e-06 1.899e-07
      50 1.644e-06 2.064e-06 1.761e-06 8.383e-08
      63 2.047e-06 3.410e-06 2.348e-06 2.882e-07
      79 2.582e-06 3.945e-06 2.890e-06 3.142e-07
     100 3.331e-06 4.657e-06 3.642e-06 3.602e-07
     126 4.358e-06 8.081e-06 5.100e-06 6.520e-07
     158 5.569e-06 7.741e-06 5.900e-06 3.510e-07
     200 7.331e-06 9.973e-06 7.832e-06 5.359e-07
     251 9.701e-06 1.174e-05 1.012e-05 4.301e-07
     316 1.262e-05 1.464e-05 1.301e-05 3.878e-07
     398 1.647e-05 1.903e-05 1.691e-05 4.194e-07
